Record_ID,Region,District,Year,Season,Crop,Temp_Min_C,Temp_Max_C,Rainfall_mm,Humidity_Pct,Solar_Rad_MJm2,Soil_pH,Organic_Carbon_Pct,Nitrogen_kg_ha,Phosphorus_kg_ha,Potassium_kg_ha,Crop_Yield_kg_ha,GDD_Degree_Days,RAI_Index,THI_Index,SNI_Index
AGR_Cen_2022_00020,Central_Zone,UP_Bundelkhand,2022,Kharif,Cotton,21.42,34.32,655.41,75.24,11.53,6.41,0.533,204.4,22.7,155.7,3226.87,2144.4,0.243,78.91,59.72
AGR_Cen_2020_00021,Central_Zone,UP_Bundelkhand,2020,Kharif,Soybean,26.44,34.84,1161.71,71.97,11.31,5.93,0.748,202.3,23.7,131.8,3568.26,2476.8,1.437,82.67,60.34
AGR_Cen_2022_00022,Central_Zone,MP_Narmada,2022,Kharif,Cotton,23.05,35.12,708.69,72.02,11.53,6.67,0.438,146.7,14.8,207.8,2969.99,2290.2,0.407,80.32,55.37
AGR_Cen_2019_00023,Central_Zone,CG_Plains,2019,Rabi,Pulses,18.27,29.58,197.98,55.89,11.85,6.97,0.408,112.3,26.2,211.5,1360.46,1671.0,-0.827,70.92,50.22
AGR_Cen_2023_00024,Central_Zone,MP_Narmada,2023,Rabi,Maize,20.36,32.64,135.25,60.74,12.14,5.2,0.656,145.9,23.6,110.0,3185.64,1980.0,-0.906,75.01,53.75
AGR_Cen_2023_00025,Central_Zone,MP_Narmada,2023,Kharif,Pulses,23.95,37.02,1082.7,80.91499999999999,10.61,7.99,0.843,208.2,25.0,194.0,2374.21,2458.2,1.263,83.88,53.47
AGR_Cen_2018_00026,Central_Zone,CG_Plains,2018,Rabi,Rice,18.87,31.5,184.88,59.9,12.06,6.64,0.509,187.5,29.1,314.2,4246.44,1822.2,-0.857,73.07,79.94
AGR_Cen_2021_00027,Central_Zone,JH_Plateau,2021,Kharif,Wheat,21.51,30.21,1517.46,95.0,10.0,6.27,0.55,148.7,24.9,164.0,4250.7,1903.2,2.353,78.07,53.84
AGR_Cen_2019_00028,Central_Zone,JH_Plateau,2019,Rabi,Wheat,19.95,28.37,184.92,51.83,10.76,5.88,0.5,164.3,14.2,168.8,3655.81,1699.2,-0.83,70.84,59.06
AGR_Cen_2023_00029,Central_Zone,MP_Narmada,2023,Kharif,Rice,24.52,34.36,1344.62,93.8,12.23,7.31,0.332,122.0,28.3,214.3,4249.12,2332.8,1.862,84.15,49.88
AGR_Cen_2022_00030,Central_Zone,CG_Plains,2022,Kharif,Pulses,23.06,36.86,556.99,60.39,12.66,6.59,0.285,166.2,22.3,164.6,2345.04,2395.2,0.0,79.83,53.58
AGR_Cen_2023_00031,Central_Zone,CG_Plains,2023,Kharif,Wheat,22.51,32.43,815.9,77.86,10.99,7.04,0.909,203.3,10.9,247.9,5334.02,2096.4,0.596,78.63,65.64
AGR_Cen_2020_00032,Central_Zone,CG_Plains,2020,Rabi,Rice,21.12,30.3,188.93,54.71,11.94,6.66,0.724,252.5,21.8,271.9,4980.91,1885.2,-0.848,73.21,82.01
AGR_Cen_2020_00033,Central_Zone,JH_Plateau,2020,Rabi,Soybean,19.95,34.32,188.56,66.63,12.55,7.4,0.715,199.5,21.4,137.5,2896.8,2056.2,-0.822,76.66,48.43
AGR_Cen_2021_00034,Central_Zone,CG_Plains,2021,Kharif,Wheat,24.03,38.14,1205.59,94.82,10.0,6.39,0.729,153.8,13.8,233.5,4599.93,2530.2,1.494,87.18,62.77
AGR_Cen_2022_00035,Central_Zone,MP_Narmada,2022,Kharif,Wheat,23.62,31.51,1026.75,85.09,10.0,7.56,0.658,185.6,33.4,189.0,4535.42,2107.8,1.135,79.74,53.97
AGR_Cen_2019_00036,Central_Zone,JH_Plateau,2019,Kharif,Soybean,23.17,32.69,906.825,63.77,11.94,7.14,0.663,145.6,23.4,192.8,3068.54,2151.6,0.894,77.44,50.67
AGR_Cen_2022_00037,Central_Zone,MP_Narmada,2022,Rabi,Wheat,18.58,29.79,242.28,50.5,10.31,6.42,0.665,165.2,24.7,166.6,4080.32,1702.2,-0.661,70.74,55.53
AGR_Cen_2021_00038,Central_Zone,CG_Plains,2021,Rabi,Rice,20.31,33.42,189.26,49.51,13.21,7.47,0.69,236.7,26.4,202.0,4969.59,2023.8,-0.847,74.11,62.26
AGR_Cen_2023_00039,Central_Zone,CG_Plains,2023,Rabi,Cotton,18.83,28.81,199.14,63.91,10.67,7.51,0.615,197.3,24.8,167.9,2369.76,1658.4,-0.824,71.54,51.93
AGR_Cen_2019_00040,Central_Zone,JH_Plateau,2019,Rabi,Pulses,22.52,33.28,280.01,70.07,12.48,6.42,0.566,158.4,18.8,279.6,1827.02,2148.0,-0.603,78.25,71.15
AGR_Cen_2023_00041,Central_Zone,MP_Narmada,2023,Rabi,Soybean,19.33,32.26,214.88,64.87,14.77,6.68,0.395,147.2,25.3,110.0,2450.96,1895.4,-0.724,74.49,42.29
AGR_Cen_2019_00042,Central_Zone,JH_Plateau,2019,Kharif,Soybean,22.97,30.56,711.23,82.41,11.51,6.24,0.574,160.6,20.6,196.5,3121.22,2011.8,0.427,78.08,60.53
AGR_Cen_2018_00043,Central_Zone,MP_Narmada,2018,Kharif,Rice,23.93,34.03,624.67,61.45,12.57,7.14,0.749,170.9,20.7,246.7,5459.13,2277.6,0.214,78.6,61.39
AGR_Cen_2023_00044,Central_Zone,CG_Plains,2023,Kharif,Wheat,24.52,36.65,1260.22,95.0,10.0,7.86,0.731,208.6,22.6,247.9,4871.96,2470.2,1.62,86.34,60.95
AGR_Cen_2022_00045,Central_Zone,MP_Narmada,2022,Zaid,Cotton,26.02,37.31,50.52,51.65,13.87,7.07,0.494,100.4,32.0,203.5,2100.04,2599.8,-1.1,80.7,47.51
AGR_Cen_2018_00046,Central_Zone,MP_Narmada,2018,Rabi,Maize,19.16,26.77,128.18,47.95,11.9,7.57,0.519,199.4,30.3,298.6,3408.28,1555.8,-0.922,68.93,69.79
AGR_Cen_2022_00047,Central_Zone,MP_Narmada,2022,Kharif,Soybean,23.27,30.74,1017.6,75.69,10.0,7.8,0.799,213.6,23.0,178.2,3394.29,2040.6,1.114,77.62,53.18
AGR_Cen_2021_00048,Central_Zone,MP_Narmada,2021,Zaid,Wheat,23.94,37.61,101.16,42.68,18.2,7.49,0.647,198.5,17.9,209.0,3873.51,2493.0,-0.984,78.05,56.8
AGR_Cen_2020_00049,Central_Zone,JH_Plateau,2020,Rabi,Wheat,22.33,30.445,160.49,55.59,13.1,6.78,0.65,160.5,17.0,245.3,3718.5,1966.5,-0.889,74.23,62.36
AGR_Cen_2023_00050,Central_Zone,UP_Bundelkhand,2023,Kharif,Cotton,23.32,36.62,1525.77,95.0,10.0,6.51,0.691,176.2,20.8,147.0,3271.49,2396.4,2.295,85.26,52.84
AGR_Cen_2020_00051,Central_Zone,CG_Plains,2020,Kharif,Maize,21.69,29.56,715.64,80.46,10.27,6.6,0.682,157.0,35.6,184.0,3940.6,1875.0,0.365,76.01,57.06
AGR_Cen_2023_00052,Central_Zone,UP_Bundelkhand,2023,Zaid,Soybean,25.15,33.99,88.27,53.55,11.57,7.2,0.659,156.5,18.9,253.2,2389.32,2348.4,-1.094,78.23,59.53
AGR_Cen_2023_00053,Central_Zone,MP_Narmada,2023,Zaid,Pulses,26.42,37.83,88.4,44.92,12.15,7.69,0.579,168.1,16.5,209.8,1557.52,2655.0,-1.013,80.11,51.29
AGR_Cen_2023_00054,Central_Zone,CG_Plains,2023,Kharif,Wheat,24.72,35.7,811.26,75.06,10.0,6.54,0.642,189.3,21.4,179.8,4816.57,2425.2,0.586,82.51,59.71
AGR_Cen_2022_00055,Central_Zone,CG_Plains,2022,Kharif,Wheat,23.76,35.98,964.32,81.86,10.0,6.17,0.504,158.6,15.4,140.0,4500.93,2384.4,0.938,83.04,50.89
AGR_Cen_2020_00056,Central_Zone,JH_Plateau,2020,Zaid,Wheat,26.33,36.285,114.75,53.57,12.54,6.67,0.47,157.5,17.3,268.2,3716.59,2556.9,-0.998,80.56,66.42
AGR_Cen_2020_00057,Central_Zone,UP_Bundelkhand,2020,Rabi,Cotton,21.64,34.85,178.31,56.92,11.33,6.96,0.827,194.5,26.2,196.2,2478.3,2189.4,-0.882,76.93,59.9
AGR_Cen_2023_00058,Central_Zone,UP_Bundelkhand,2023,Rabi,Wheat,18.73,26.37,301.22,56.92,12.73,5.83,0.816,134.6,16.2,207.0,3924.98,1506.0,-0.592,69.14,61.37
AGR_Cen_2021_00059,Central_Zone,JH_Plateau,2021,Kharif,Rice,25.62,39.17,1098.19,87.61,11.36,6.63,0.686,134.9,22.5,170.2,5040.23,2687.4,1.352,88.17,49.41
AGR_Cen_2018_00060,Central_Zone,UP_Bundelkhand,2018,Kharif,Soybean,24.83,38.08,672.18,64.66,12.79,5.26,0.497,172.4,24.1,243.0,2894.85,2574.6,0.283,82.66,83.56
AGR_Cen_2020_00061,Central_Zone,CG_Plains,2020,Kharif,Wheat,23.72,33.24,984.19,77.64,10.0,6.41,0.266,156.2,18.6,179.2,4082.14,2217.6,0.984,80.19,55.23
AGR_Cen_2018_00062,Central_Zone,JH_Plateau,2018,Kharif,Maize,21.32,29.09,564.64,74.24,10.0,6.46,0.393,164.9,23.2,296.1,3655.23,1824.6,0.077,74.66,74.95
AGR_Cen_2018_00063,Central_Zone,JH_Plateau,2018,Rabi,Pulses,20.07,33.02,205.34,62.07,11.15,7.04,0.389,148.1,20.5,185.7,1698.35,1985.4,-0.781,75.24,50.33
AGR_Cen_2023_00064,Central_Zone,JH_Plateau,2023,Rabi,Cotton,20.28,33.97,156.47,61.26,10.21,6.9,0.373,119.7,20.4,200.0,2109.93,2055.0,-0.898,75.96,49.29
AGR_Cen_2018_00065,Central_Zone,CG_Plains,2018,Kharif,Wheat,25.32,38.02,915.07,76.59,10.08,7.18,0.69,172.6,24.9,268.1,4787.57,2600.4,0.825,85.04,64.85
AGR_Cen_2021_00066,Central_Zone,MP_Narmada,2021,Zaid,Rice,25.26,37.4,61.21,65.78,10.74,6.47,0.466,128.1,17.7,110.0,3923.96,2559.6,-1.076,82.67,39.54
AGR_Cen_2022_00067,Central_Zone,CG_Plains,2022,Kharif,Soybean,24.41,32.43,1051.64,77.83,10.0,7.39,0.404,202.1,26.4,219.8,3231.67,2210.4,1.139,80.13,60.66
AGR_Cen_2019_00068,Central_Zone,CG_Plains,2019,Kharif,Maize,24.7,36.28,1419.58,92.29,10.0,7.23,0.508,147.5,24.8,246.1,3784.29,2458.8,1.987,85.73,57.87
AGR_Cen_2023_00069,Central_Zone,CG_Plains,2023,Rabi,Maize,19.28,28.89,242.69,69.82,11.01,6.84,0.459,128.9,27.0,300.3,2970.14,1690.2,-0.724,72.5,66.7
AGR_Cen_2021_00070,Central_Zone,CG_Plains,2021,Rabi,Wheat,19.84,31.68,270.92,64.66,11.76,6.36,0.803,154.3,22.9,203.8,4307.64,1891.2,-0.659,74.42,59.91
AGR_Cen_2021_00071,Central_Zone,CG_Plains,2021,Rabi,Soybean,19.55,28.15,144.28,50.74,16.07,6.48,0.697,254.3,15.1,141.8,2776.08,1662.0,-0.951,70.33,63.46
AGR_Cen_2023_00072,Central_Zone,CG_Plains,2023,Kharif,Wheat,24.26,37.28,1059.55,95.0,10.0,7.39,0.73,142.7,15.8,285.5,4477.1,2492.4,1.158,86.66,60.08
AGR_Cen_2020_00073,Central_Zone,UP_Bundelkhand,2020,Kharif,Maize,24.05,37.26,1818.8,95.0,13.48,6.46,0.583,151.0,18.8,277.1,3686.8,2478.6,2.986,86.46,69.18
AGR_Cen_2023_00074,Central_Zone,CG_Plains,2023,Kharif,Rice,24.67,38.59,544.99,69.64,13.63,7.08,0.763,216.4,19.5,211.1,5325.06,2595.6,-0.028,83.77,63.14
AGR_Cen_2022_00075,Central_Zone,UP_Bundelkhand,2022,Zaid,Maize,27.52,41.4,74.31,56.75,10.8,8.34,0.432,184.0,20.2,203.9,2995.7,2935.2,-1.127,85.41,48.93
AGR_Cen_2019_00076,Central_Zone,UP_Bundelkhand,2019,Rabi,Cotton,20.81,30.47,136.27,52.89,12.04,6.72,0.819,200.6,33.4,167.5,2371.48,1876.8,-0.981,72.91,59.75
AGR_Cen_2021_00077,Central_Zone,UP_Bundelkhand,2021,Rabi,Pulses,20.15,31.31,157.82,54.01,11.53,7.21,0.697,170.1,14.2,251.5,1872.2,1887.6,-0.93,73.16,60.44
AGR_Cen_2023_00078,Central_Zone,MP_Narmada,2023,Rabi,Wheat,17.3,30.75,134.92,71.13,12.85,6.36,0.604,213.1,30.5,275.0,4055.91,1683.0,-0.907,72.54,81.54
AGR_Cen_2022_00079,Central_Zone,MP_Narmada,2022,Rabi,Cotton,19.83,27.26,114.96,67.12,11.19,5.27,0.317,167.7,12.3,251.7,2068.27,1625.4,-0.953,71.44,81.92
AGR_Cen_2020_00080,Central_Zone,CG_Plains,2020,Rabi,Soybean,19.83,31.72,160.39,40.74,14.08,7.44,0.768,200.9,33.4,147.0,2753.78,1893.0,-0.913,71.69,51.25
AGR_Cen_2023_00081,Central_Zone,JH_Plateau,2023,Kharif,Soybean,24.58,35.6,664.38,60.36,10.99,7.41,0.951,128.1,24.4,280.3,3290.15,2410.8,0.315,80.0,58.41
AGR_Cen_2021_00082,Central_Zone,UP_Bundelkhand,2021,Kharif,Cotton,26.2,34.48,554.98,53.37,10.24,6.29,0.795,170.2,18.9,165.9,3046.92,2440.8,0.006,79.23,56.44
AGR_Cen_2019_00083,Central_Zone,JH_Plateau,2019,Rabi,Cotton,18.26,25.91,276.63,60.59,14.99,6.42,0.527,203.7,26.7,232.6,2180.38,1450.2,-0.611,68.78,72.12
AGR_Cen_2018_00084,Central_Zone,JH_Plateau,2018,Rabi,Rice,19.52,27.01,137.3,39.97,15.78,7.43,0.48,264.6,26.0,237.8,4531.32,1591.8,-0.944,68.6,71.12
AGR_Cen_2022_00085,Central_Zone,JH_Plateau,2022,Kharif,Soybean,23.17,34.25,1298.77,88.17,10.0,6.53,0.768,141.5,18.4,228.9,3169.34,2245.2,1.831,82.07,59.54
AGR_Cen_2023_00086,Central_Zone,MP_Narmada,2023,Kharif,Rice,22.33,33.5,1181.66,95.0,10.0,7.01,0.928,172.6,18.4,148.5,5427.71,2149.8,1.489,81.67,48.43
AGR_Cen_2018_00087,Central_Zone,CG_Plains,2018,Kharif,Soybean,24.49,35.36,952.54,73.81,10.0,7.73,0.564,187.7,17.8,139.3,3074.45,2391.0,0.911,81.87,44.61
AGR_Cen_2018_00088,Central_Zone,MP_Narmada,2018,Kharif,Wheat,23.995,39.17,805.83,78.05,10.96,6.63,0.596,175.7,18.7,206.5,4591.7,2589.9,0.629,85.15,60.47
AGR_Cen_2021_00089,Central_Zone,JH_Plateau,2021,Zaid,Maize,22.29,30.99,108.63,54.01,11.48,5.87,0.39,190.6,20.4,178.4,3149.47,1996.8,-1.012,74.38,66.34
AGR_Cen_2021_00090,Central_Zone,UP_Bundelkhand,2021,Kharif,Soybean,27.05,38.48,1344.52,90.71,10.0,6.64,0.579,204.2,24.6,208.3,3122.85,2731.8,1.868,89.36,65.83
AGR_Cen_2019_00091,Central_Zone,MP_Narmada,2019,Kharif,Pulses,24.02,37.25,642.93,74.32,13.92,7.61,0.966,216.9,21.4,226.1,2428.14,2476.2,0.256,83.05,61.02
AGR_Cen_2023_00092,Central_Zone,JH_Plateau,2023,Rabi,Maize,18.07,29.6,181.16,55.01,10.0,6.09,0.574,170.6,16.7,226.2,3188.98,1660.2,-0.839,70.71,67.9
AGR_Cen_2020_00093,Central_Zone,UP_Bundelkhand,2020,Rabi,Cotton,21.55,31.38,219.79,56.92,10.0,6.67,0.458,211.0,32.6,227.3,2487.08,1975.8,-0.784,74.5,70.6
AGR_Cen_2022_00094,Central_Zone,JH_Plateau,2022,Kharif,Soybean,22.74,32.72,970.32,81.42,10.0,7.5,0.422,180.9,23.7,193.0,2904.07,2127.6,1.046,79.52,53.01
AGR_Cen_2019_00095,Central_Zone,CG_Plains,2019,Kharif,Soybean,22.79,33.93,1013.73,86.87,10.0,8.05,0.451,90.0,21.5,245.9,2670.66,2203.2,1.052,81.3,44.4
AGR_Cen_2022_00096,Central_Zone,UP_Bundelkhand,2022,Rabi,Wheat,23.51,32.0,143.69,50.07,14.67,6.79,0.462,175.8,14.3,280.2,3689.53,2130.6,-0.963,75.34,69.26
AGR_Cen_2019_00097,Central_Zone,UP_Bundelkhand,2019,Rabi,Rice,22.68,33.98,124.37,57.0,12.91,5.85,0.744,212.6,38.4,222.3,4635.18,2199.6,-1.009,77.06,80.91
AGR_Cen_2018_00098,Central_Zone,JH_Plateau,2018,Rabi,Rice,20.92,28.36,154.21,54.54,14.11,7.49,1.12,234.1,30.5,257.6,5287.72,1756.8,-0.904,71.75,69.72
AGR_Cen_2018_00099,Central_Zone,CG_Plains,2018,Rabi,Soybean,19.52,33.39,92.67,30.0,15.06,6.88,0.569,229.4,23.9,182.7,2442.18,1974.6,-1.069,71.21,63.37
AGR_Cen_2018_00100,Central_Zone,MP_Narmada,2018,Kharif,Soybean,22.74,35.53,744.43,66.71,13.71,7.18,0.595,210.5,24.5,246.4,3367.98,2296.2,0.488,79.6,67.05
AGR_Cen_2021_00101,Central_Zone,CG_Plains,2021,Rabi,Pulses,19.96,29.16,179.99,40.32,18.01,6.3,0.505,174.1,16.1,231.5,1721.79,1747.2,-0.868,70.18,66.94
AGR_Cen_2021_00102,Central_Zone,CG_Plains,2021,Kharif,Soybean,26.02,37.29,1417.39,95.0,11.08,7.71,0.59,214.7,38.0,182.1,3298.56,2598.6,1.982,88.21,56.39
AGR_Cen_2019_00103,Central_Zone,MP_Narmada,2019,Rabi,Wheat,21.34,30.845,142.14,63.45,10.85,6.67,0.509,129.8,26.2,145.9,3766.86,1931.1,-0.89,74.76,45.26
AGR_Cen_2018_00104,Central_Zone,UP_Bundelkhand,2018,Rabi,Pulses,20.05,30.42,83.58,39.51,11.77,7.25,0.223,162.0,22.9,318.2,1550.17,1828.2,-1.105,70.91,69.39
AGR_Cen_2023_00105,Central_Zone,MP_Narmada,2023,Kharif,Cotton,24.73,37.52,1491.45,95.0,10.0,6.26,0.556,153.5,27.1,316.4,2813.97,2535.0,2.198,87.28,79.39
AGR_Cen_2018_00106,Central_Zone,CG_Plains,2018,Zaid,Rice,26.89,37.52,76.71,59.94,12.0,7.0,0.72,146.0,22.6,181.4,4199.28,2664.6,-1.106,82.9,50.0
AGR_Cen_2023_00107,Central_Zone,UP_Bundelkhand,2023,Rabi,Rice,21.83,33.02,203.97,66.68,10.46,6.26,0.68,216.7,8.0,199.6,4889.7,2091.0,-0.821,77.09,67.78
AGR_Cen_2020_00108,Central_Zone,MP_Narmada,2020,Kharif,Cotton,24.08,34.11,1074.05,80.91499999999999,12.26,6.88,0.56,171.6,12.7,177.5,3047.63,2291.4,1.243,81.65,52.59
AGR_Cen_2023_00109,Central_Zone,CG_Plains,2023,Kharif,Maize,22.64,34.9,1059.2,92.72,10.0,6.44,0.589,195.2,17.9,214.9,4207.83,2252.4,1.157,82.83,66.46
AGR_Cen_2023_00110,Central_Zone,UP_Bundelkhand,2023,Rabi,Cotton,21.46,33.48,30.91,45.35,12.75,6.45,0.652,174.7,29.0,228.3,2030.97,2096.4,-1.229,74.35,66.98
AGR_Cen_2023_00111,Central_Zone,MP_Narmada,2023,Rabi,Pulses,17.33,30.845,264.55,44.25,11.43,7.0,0.618,194.7,20.9,198.8,1529.34,1690.5,-0.61,70.0,59.2
AGR_Cen_2019_00112,Central_Zone,CG_Plains,2019,Rabi,Soybean,18.69,26.59,161.65,56.28,13.52,7.23,0.733,148.3,31.5,170.4,2327.16,1516.8,-0.911,69.21,48.44
AGR_Cen_2018_00113,Central_Zone,UP_Bundelkhand,2018,Rabi,Maize,18.97,32.91,253.83,71.6,13.36,7.35,0.479,186.7,23.8,214.8,3521.7,1912.8,-0.704,75.49,57.86
AGR_Cen_2022_00114,Central_Zone,MP_Narmada,2022,Kharif,Cotton,24.1,33.68,1174.42,83.46,11.7,6.88,0.504,147.1,34.9,205.2,2898.51,2266.8,1.473,81.69,56.28
AGR_Cen_2018_00115,Central_Zone,CG_Plains,2018,Rabi,Cotton,21.09,32.65,182.37,55.18,15.73,7.17,0.591,166.3,32.3,251.1,2243.97,2024.4,-0.863,74.83,62.72
AGR_Cen_2022_00116,Central_Zone,CG_Plains,2022,Rabi,Cotton,20.69,27.79,279.39,68.91,10.9,6.16,0.644,222.0,19.2,233.2,2545.07,1708.8,-0.639,72.64,77.01
AGR_Cen_2022_00117,Central_Zone,JH_Plateau,2022,Kharif,Maize,25.05,36.02,966.71,75.99,10.0,7.05,0.624,151.2,31.5,244.6,3944.26,2464.2,1.038,83.16,60.61
AGR_Cen_2023_00118,Central_Zone,CG_Plains,2023,Kharif,Wheat,23.86,33.28,839.36,86.26,10.68,6.07,0.549,219.8,20.7,204.5,5067.37,2228.4,0.65,81.57,73.31
AGR_Cen_2021_00119,Central_Zone,CG_Plains,2021,Kharif,Rice,23.01,36.01,1147.89,91.6,10.0,7.18,0.625,188.0,18.5,232.8,5061.53,2341.2,1.361,83.94,61.18
AGR_Cen_2019_00120,Central_Zone,UP_Bundelkhand,2019,Kharif,Pulses,25.05,32.59,1710.86,95.0,10.0,6.91,0.546,182.3,12.3,262.2,1918.59,2258.4,2.731,83.25,66.11
AGR_Cen_2019_00121,Central_Zone,MP_Narmada,2019,Kharif,Cotton,25.2,37.74,874.02,70.69,12.85,6.58,0.566,171.8,17.5,214.7,2767.06,2576.4,0.785,83.71,61.4
AGR_Cen_2021_00122,Central_Zone,CG_Plains,2021,Kharif,Cotton,23.43,36.7,809.9,78.73,10.0,6.61,0.605,150.8,29.0,252.3,2676.16,2407.8,0.583,82.86,65.37
AGR_Cen_2019_00123,Central_Zone,MP_Narmada,2019,Kharif,Soybean,26.49,38.39,651.14,92.1,10.33,6.97,0.538,166.6,23.4,135.3,3192.52,2692.8,0.275,89.06,46.67
AGR_Cen_2021_00124,Central_Zone,MP_Narmada,2021,Rabi,Maize,20.86,28.85,239.97,63.95,13.85,6.19,0.48,189.2,24.3,178.5,3575.07,1782.6,-0.666,73.03,63.33
AGR_Cen_2018_00125,Central_Zone,MP_Narmada,2018,Kharif,Pulses,23.93,34.215,722.13,83.98,15.01,6.11,0.53,172.5,37.4,153.0,2337.18,2288.7,0.437,82.06,59.39
AGR_Cen_2019_00126,Central_Zone,CG_Plains,2019,Rabi,Soybean,21.26,33.42,274.78,61.99,13.47,6.43,0.622,172.8,15.5,114.8,2823.5,2080.8,-0.65,76.36,47.14
AGR_Cen_2019_00127,Central_Zone,JH_Plateau,2019,Kharif,Soybean,23.25,30.45,1078.98,74.61,11.86,5.2,0.541,137.7,30.0,265.9,2956.76,2022.0,1.306,77.24,83.38
AGR_Cen_2020_00128,Central_Zone,CG_Plains,2020,Rabi,Cotton,19.79,30.3,199.17,48.29,14.6,6.78,0.844,186.4,19.3,168.7,2355.54,1805.4,-0.824,71.62,55.22
AGR_Cen_2018_00129,Central_Zone,CG_Plains,2018,Rabi,Cotton,19.06,28.31,310.24,60.66,10.35,7.86,0.614,186.4,21.1,227.7,2790.92,1642.2,-0.568,71.04,55.37
AGR_Cen_2018_00130,Central_Zone,CG_Plains,2018,Kharif,Maize,24.27,36.83,961.47,95.0,10.0,5.55,0.911,154.8,16.6,264.5,4410.51,2466.0,0.932,86.28,78.54
